SL,Date,Dealer Name,Address,Contact,Code
17,04-Mar-19,Dimension Traders,"73 uttar Kalshi, Sarker Bari, DOHS, Mirpur-12, Dhaka.",Mr. Mahbub 01711-274304,UNY-001/DK017
18,04-Mar-19,Adarsha Electrical & Electronics,"Mosjid Road, Joydebpur,Gazipur.","Md. Sohrab Hossen Ekhlas 01937-767273, 01777233455",UNY-001/DK018
19,07-Mar-19,Master Electric Center,"Section-11, Block-A, Road-2, Plot-2, Bazar Road, Mirpur, Pallobi, Dhaka.",Sekh Mamunur Rashid 018190-75828,UNY-001/DK019
20,11-Mar-19,Patwary Electric Sanitary & Hardware,"111/3Mohakhali Dakkhin Para, Niketon Bazar, Gulshan, Dhaka.",Md.Mamun Patwary 01745-442375,UNY-001/DK020
21,11-Mar-19,New Feni Electric & Hardware,"SHA-49, Hossain Market, North Badda, Dhaka-1212",Md.Farhad Hossain 01611-160028 01977-760028,UNY-001/DK021
22,11-Mar-19,Al Amin Electric,"69 Nawabganj Road, Hazaribagh, Lalbagh, Dhaka.",Md.Al Amin 01818-520295,UNY-001/DK022
23,17-Mar-19,Rahmat Ullah Electric,"65/2 Sirajdoullah Road, Rubi Super Market,Kalir Bazar, Narayanganj,",Md.Rahmat Ullah 01735-204869,UNY-001/DK023
24,17-Mar-19,M/S S.M Traders,"M.Chan Market, shop-1, Siraj Uddullah Road, Narayanganj,",Md.Masud 01677-218470 01720-477150.,UNY-001/DK024
25,19-Mar-19,Chadpur Hardware & Electric House,"1057, Section-7, Road-5, Milk Vita  Chowrasta Mor, Mirpur, Dhaka.",Md. Bellal Hossin 01670-287795,UNY-001/DK025
26,19-Mar-19,Aziz Electric,"25/7-1 Zigatola, Dhaka-1209", Md. Yusuf Khan 01925-767727 01916-159644,UNY-001/DK026
27,23-Mar-19,M/S Uttara Electric,"Sha KabirMazar Road, Azompur Kacha Bazar, Dokkin Khan, Uttara, Dhaka.-1230.",Mohammad Ibrahim 01970-532222,UNY-001/DK027
28,19-Mar-19,Kashem  Electric,"H 6/18 Uotokhali, Mazar Road, Mirpur-1, Dhaka.",Md.Kashem 01922796631,UNY-001/DK028
29,19-Mar-19,Rafin Electric House,"27 C, Road No: 15/2, Mirpur-1, Dhaka.",,UNY-001/DK029
30,19-Mar-19,Quality Traders,"Hazi Sunamuddin Waqfa Market, 1st Floor, Dokan No-91, Chondona chowrasta, Gazipur City.",Md.Shohidul Islam 01727-172535,UNY-001/DK030
31,21-Apr-19,S.S Electric Store,"KA-24/2, Bashundhara Road, Sarker Market, Dhaka-1229",Md.Nazrul Islam 01717-054163,UNY-001/DK031
32,21-Apr-19,Mejba Electric & Hardware,"Shop: 234 (1st Floor) D.O.H.S, Baridhara-Dhaka.",Md. Shafiqul Islam 01674-216088,UNY-001/DK032
33,02-May-19,Hasan Elrctric,"Shop No: 05, MSPCC Market, Pallabi, Mirpur 11 1/2, Dhaka-1216",Abdul Jaher 01788-600838,UNY-001/DK033
34,01-Jul-19,Chandpu Electric House,"Road:1, Kalshe Mirpur 11, dhaka.",,UNY-001/DK034
35,22-Jul-19,Mahfuj Electric Engineeing,"Dhaka Mymenshing Road, Tongi, Gajipura-1700",Mostafijur Rahman 01717-059736,UNY-001/DK035
36,01-Sep-19,Mamata Electric & Lighting House,"Ka-4, Mamata Complex(near Pitha Ghar) Bashundhara Road,Vatara, Dhaka",Mizanur Rahman 01741-767000,UNY-001/DK036
37,15-Sep-19,NobabGang Electric & Hardware,"Shah Kabir Mazar Road, Ajompur, Uttara, Dhaka",Mamun Miya 01680-801050,UNY-001/DK037
38,18-Sep-19,Vai Vai Hardware & Electric,"427, Khonik Super Market, Ashkona Bazar, Medical Road DokkhinKhan,Dhaka",Md. Unus Khan 01711-985428 01924-806265,UNY-001/DK038
39,29-Sep-19,Mayer Doya Electric,"Bissah Market, Mazar Courasta,Uttarkhan",Md.Habibur Rahman 01921-745753,UNY-001/DK039
40,03-Oct-19,New Jhilik Biddut Ghor,"Kasimpur Road, Konabari, Gajipur",Faruk Vuiya 01712-567584 01711-465767,UNY-001/DK040
41,03-Oct-19,Madina Sanetary & Electric House,"A-73, Mir Complex,Sofipur Bazar, Kaliyakor,Gajipur",Shahina Begam 01784-231000 01712-146479,UNY-001/DK041
42,06-Oct-19,M/S Sarker Traders,"Baypas, College Mor, Kaliyakor, Gajipur",Khayrul Alom Khokon 01732-603151,UNY-001/DK042
43,07-Oct-19,S.N Electric Company,"Ga-25/6, Progati Sharani, Shahajadpur, Gulshan, Dhaka.",Md. Nowshad Chowdhury 01715-198739,UNY-001/DK043
44,01-Nov-19,Takwaya Electric,"Rd-4, Shop-4, ShahGupta, Mirpur-12",Abdur Jaher 01788-600838,UNY-001/DK044
45,24-Nov-19,Chandpur Hardware & Electric,"Millk Vita mor, Mirpur",,UNY-001/DK045
46,,SM Lighting,"Paltan, Dhaka,Bangladesh",Mr. Tamjid 01916614640,UNY-001/DK046
47,01-Jan-20,Mahadia Electric & Hardware,"Shop-35 & 42, Under Ground,Gazi Hossen Plaza, Staff Quarter, Demra.",A. R. Mohiuddin 01911-888238 01990252633,UNY-001/DK047
